"sample_cycle","observed_at_local","condition_label","placement_label","device_name","ip","role","expected_device_id","device_id","device_id_match","dht_sensor_id","moisture_sensor_id","device_timestamp","temperature_f","humidity_percent","moisture_index","soil_raw_adc","watering","last_watered_time","last_watering_duration","note","error"
"24","2026-05-19 17:57:12","baseline_no_watering_after_balcony_reflash","original_installed_sensor_area_with_scout_within_approx_6in","balcony-scout-01","10.0.0.180","sensor-scout","28f4e6e3-5979-4af4-9753-34e185d8e47e","28f4e6e3-5979-4af4-9753-34e185d8e47e","True","DHT02","SM02","2026-05-19 17:57:10","83.3","64.0","75.0","1826","False","N/A","0","Baseline no-watering capture after balcony reflash; sensors remain in original placement",""
"25","2026-05-19 17:59:12","baseline_no_watering_after_balcony_reflash","original_installed_sensor_area_with_scout_within_approx_6in","installed-balcony-unit","10.0.0.200","controller","550e8400-e29b-41d4-a716-446655440000","550e8400-e29b-41d4-a716-446655440000","True","DHT01","SM01","2026-05-19 17:59:10","82.8","70.0","72.0","1904","False","N/A","0","Baseline no-watering capture after balcony reflash; sensors remain in original placement",""
"25","2026-05-19 17:59:12","baseline_no_watering_after_balcony_reflash","original_installed_sensor_area_with_scout_within_approx_6in","balcony-scout-01","10.0.0.180","sensor-scout","28f4e6e3-5979-4af4-9753-34e185d8e47e","28f4e6e3-5979-4af4-9753-34e185d8e47e","True","DHT02","SM02","2026-05-19 17:59:10","82.6","65.0","75.0","1834","False","N/A","0","Baseline no-watering capture after balcony reflash; sensors remain in original placement",""
"26","2026-05-19 18:01:13","baseline_no_watering_after_balcony_reflash","original_installed_sensor_area_with_scout_within_approx_6in","installed-balcony-unit","10.0.0.200","controller","550e8400-e29b-41d4-a716-446655440000","550e8400-e29b-41d4-a716-446655440000","True","DHT01","SM01","2026-05-19 18:01:10","82.9","70.0","73.0","1889","False","N/A","0","Baseline no-watering capture after balcony reflash; sensors remain in original placement",""
"26","2026-05-19 18:01:13","baseline_no_watering_after_balcony_reflash","original_installed_sensor_area_with_scout_within_approx_6in","balcony-scout-01","10.0.0.180","sensor-scout","28f4e6e3-5979-4af4-9753-34e185d8e47e","28f4e6e3-5979-4af4-9753-34e185d8e47e","True","DHT02","SM02","2026-05-19 18:01:11","81.5","65.0","76.0","1815","False","N/A","0","Baseline no-watering capture after balcony reflash; sensors remain in original placement",""
"27","2026-05-19 18:03:13","baseline_no_watering_after_balcony_reflash","original_installed_sensor_area_with_scout_within_approx_6in","installed-balcony-unit","10.0.0.200","controller","550e8400-e29b-41d4-a716-446655440000","550e8400-e29b-41d4-a716-446655440000","True","DHT01","SM01","2026-05-19 18:03:11","83.7","70.0","72.0","1899","False","N/A","0","Baseline no-watering capture after balcony reflash; sensors remain in original placement",""
"27","2026-05-19 18:03:13","baseline_no_watering_after_balcony_reflash","original_installed_sensor_area_with_scout_within_approx_6in","balcony-scout-01","10.0.0.180","sensor-scout","28f4e6e3-5979-4af4-9753-34e185d8e47e","28f4e6e3-5979-4af4-9753-34e185d8e47e","True","DHT02","SM02","2026-05-19 18:03:11","81.9","65.0","74.0","1865","False","N/A","0","Baseline no-watering capture after balcony reflash; sensors remain in original placement",""
"28","2026-05-19 18:05:13","baseline_no_watering_after_balcony_reflash","original_installed_sensor_area_with_scout_within_approx_6in","installed-balcony-unit","10.0.0.200","controller","550e8400-e29b-41d4-a716-446655440000","550e8400-e29b-41d4-a716-446655440000","True","DHT01","SM01","2026-05-19 18:05:11","82.8","70.0","73.0","1885","False","N/A","0","Baseline no-watering capture after balcony reflash; sensors remain in original placement",""
"28","2026-05-19 18:05:13","baseline_no_watering_after_balcony_reflash","original_installed_sensor_area_with_scout_within_approx_6in","balcony-scout-01","10.0.0.180","sensor-scout","28f4e6e3-5979-4af4-9753-34e185d8e47e","28f4e6e3-5979-4af4-9753-34e185d8e47e","True","DHT02","SM02","2026-05-19 18:05:11","81.3","65.0","74.0","1847","False","N/A","0","Baseline no-watering capture after balcony reflash; sensors remain in original placement",""
"29","2026-05-19 18:07:13","baseline_no_watering_after_balcony_reflash","original_installed_sensor_area_with_scout_within_approx_6in","installed-balcony-unit","10.0.0.200","controller","550e8400-e29b-41d4-a716-446655440000","550e8400-e29b-41d4-a716-446655440000","True","DHT01","SM01","2026-05-19 18:07:11","83.5","71.0","73.0","1891","False","N/A","0","Baseline no-watering capture after balcony reflash; sensors remain in original placement",""
"29","2026-05-19 18:07:13","baseline_no_watering_after_balcony_reflash","original_installed_sensor_area_with_scout_within_approx_6in","balcony-scout-01","10.0.0.180","sensor-scout","28f4e6e3-5979-4af4-9753-34e185d8e47e","28f4e6e3-5979-4af4-9753-34e185d8e47e","True","DHT02","SM02","2026-05-19 18:07:11","81.1","65.0","75.0","1840","False","N/A","0","Baseline no-watering capture after balcony reflash; sensors remain in original placement",""
"30","2026-05-19 18:09:14","baseline_no_watering_after_balcony_reflash","original_installed_sensor_area_with_scout_within_approx_6in","installed-balcony-unit","10.0.0.200","controller","550e8400-e29b-41d4-a716-446655440000","550e8400-e29b-41d4-a716-446655440000","True","DHT01","SM01","2026-05-19 18:09:11","83.3","71.0","73.0","1888","False","N/A","0","Baseline no-watering capture after balcony reflash; sensors remain in original placement",""
"30","2026-05-19 18:09:14","baseline_no_watering_after_balcony_reflash","original_installed_sensor_area_with_scout_within_approx_6in","balcony-scout-01","10.0.0.180","sensor-scout","28f4e6e3-5979-4af4-9753-34e185d8e47e","28f4e6e3-5979-4af4-9753-34e185d8e47e","True","DHT02","SM02","2026-05-19 18:09:12","81.7","65.0","75.0","1838","False","N/A","0","Baseline no-watering capture after balcony reflash; sensors remain in original placement",""
"31","2026-05-19 18:11:14","baseline_no_watering_after_balcony_reflash","original_installed_sensor_area_with_scout_within_approx_6in","installed-balcony-unit","10.0.0.200","controller","550e8400-e29b-41d4-a716-446655440000","550e8400-e29b-41d4-a716-446655440000","True","DHT01","SM01","2026-05-19 18:11:12","82.6","71.0","73.0","1877","False","N/A","0","Baseline no-watering capture after balcony reflash; sensors remain in original placement",""
"31","2026-05-19 18:11:14","baseline_no_watering_after_balcony_reflash","original_installed_sensor_area_with_scout_within_approx_6in","balcony-scout-01","10.0.0.180","sensor-scout","28f4e6e3-5979-4af4-9753-34e185d8e47e","28f4e6e3-5979-4af4-9753-34e185d8e47e","True","DHT02","SM02","2026-05-19 18:11:12","82.2","66.0","74.0","1845","False","N/A","0","Baseline no-watering capture after balcony reflash; sensors remain in original placement",""
"32","2026-05-19 18:13:14","baseline_no_watering_after_balcony_reflash","original_installed_sensor_area_with_scout_within_approx_6in","installed-balcony-unit","10.0.0.200","controller","550e8400-e29b-41d4-a716-446655440000","550e8400-e29b-41d4-a716-446655440000","True","DHT01","SM01","2026-05-19 18:13:12","83.1","71.0","72.0","1893","False","N/A","0","Baseline no-watering capture after balcony reflash; sensors remain in original placement",""
"32","2026-05-19 18:13:14","baseline_no_watering_after_balcony_reflash","original_installed_sensor_area_with_scout_within_approx_6in","balcony-scout-01","10.0.0.180","sensor-scout","28f4e6e3-5979-4af4-9753-34e185d8e47e","28f4e6e3-5979-4af4-9753-34e185d8e47e","True","DHT02","SM02","2026-05-19 18:13:12","81.1","65.0","74.0","1846","False","N/A","0","Baseline no-watering capture after balcony reflash; sensors remain in original placement",""
